111,random_walk,[((5, 6), 'S'), ((5, 5), 'N'), ((4, 5), 'W'), ((4, 6), 'S'), ((3, 6), 'W'), ((4, 6), 'E'), ((4, 7), 'S'), ((4, 6), 'N'), ((5, 6), 'E'), ((6, 6), 'E'), ((5, 6), 'W'), ((4, 6), 'W'), ((4, 7), 'S'), ((3, 7), 'W'), ((3, 8), 'S'), ((3, 7), 'N'), ((2, 7), 'W'), ((2, 8), 'S'), ((2, 7), 'N'), ((1, 7), 'W'), ((1, 8), 'S'), ((1, 9), 'S'), ((1, 9), 'S'), ((1, 8), 'N'), ((1, 7), 'N'), ((1, 6), 'N'), ((1, 7), 'S'), ((0, 7), 'W'), ((0, 8), 'S'), ((0, 7), 'N'), ((1, 7), 'E'), ((1, 8), 'S'), ((2, 8), 'E'), ((2, 7), 'N'), ((1, 7), 'W'), ((2, 7), 'E'), ((1, 7), 'W'), ((0, 7), 'W'), ((0, 7), 'W'), ((0, 6), 'N'), ((1, 6), 'E'), ((2, 6), 'E'), ((2, 5), 'N'), ((1, 5), 'W'), ((0, 5), 'W'), ((0, 6), 'S'), ((0, 5), 'N'), ((0, 6), 'S'), ((0, 5), 'N'), ((0, 4), 'N')]
111,straight_until_obstacle,[((6, 5), 'E'), ((7, 5), 'E'), ((8, 5), 'E'), ((9, 5), 'E'), ((9, 5), 'E'), ((8, 5), 'W'), ((7, 5), 'W'), ((6, 5), 'W'), ((5, 5), 'W'), ((4, 5), 'W'), ((3, 5), 'W'), ((2, 5), 'W'), ((1, 5), 'W'), ((0, 5), 'W'), ((0, 5), 'W'), ((0, 4), 'N'), ((0, 3), 'N'), ((0, 2), 'N'), ((0, 1), 'N'), ((0, 0), 'N'), ((1, 0), 'E'), ((2, 0), 'E'), ((3, 0), 'E'), ((4, 0), 'E'), ((5, 0), 'E'), ((6, 0), 'E'), ((7, 0), 'E'), ((8, 0), 'E'), ((9, 0), 'E'), ((9, 0), 'N'), ((9, 0), 'N'), ((9, 1), 'S'), ((9, 2), 'S'), ((9, 3), 'S'), ((9, 4), 'S'), ((9, 5), 'S'), ((9, 6), 'S'), ((9, 7), 'S'), ((9, 8), 'S'), ((9, 9), 'S'), ((9, 9), 'E'), ((9, 8), 'N'), ((9, 7), 'N'), ((9, 6), 'N'), ((9, 5), 'N'), ((9, 4), 'N'), ((9, 3), 'N'), ((9, 2), 'N'), ((9, 1), 'N'), ((9, 0), 'N')]
60,random_walk,[((5, 6), 'S'), ((6, 6), 'E'), ((6, 7), 'S'), ((7, 7), 'E'), ((6, 7), 'W'), ((5, 7), 'W'), ((6, 7), 'E'), ((5, 7), 'W'), ((6, 7), 'E'), ((6, 6), 'N'), ((6, 5), 'N'), ((6, 6), 'S'), ((7, 6), 'E'), ((7, 5), 'N'), ((7, 4), 'N'), ((7, 3), 'N'), ((7, 4), 'S'), ((8, 4), 'E'), ((8, 5), 'S'), ((9, 5), 'E'), ((9, 4), 'N'), ((9, 4), 'E'), ((9, 4), 'E'), ((9, 3), 'N'), ((8, 3), 'W'), ((9, 3), 'E'), ((9, 4), 'S'), ((8, 4), 'W'), ((9, 4), 'E'), ((8, 4), 'W'), ((9, 4), 'E'), ((9, 5), 'S'), ((9, 6), 'S'), ((9, 5), 'N'), ((9, 5), 'E'), ((9, 4), 'N'), ((9, 5), 'S'), ((9, 6), 'S'), ((8, 6), 'W'), ((7, 6), 'W'), ((7, 5), 'N'), ((7, 4), 'N'), ((7, 3), 'N'), ((7, 2), 'N'), ((7, 1), 'N'), ((7, 0), 'N'), ((8, 0), 'E'), ((7, 0), 'W'), ((7, 1), 'S'), ((7, 0), 'N')]
60,straight_until_obstacle,[((4, 5), 'W'), ((3, 5), 'W'), ((2, 5), 'W'), ((1, 5), 'W'), ((0, 5), 'W'), ((1, 5), 'E'), ((2, 5), 'E'), ((3, 5), 'E'), ((4, 5), 'E'), ((5, 5), 'E'), ((6, 5), 'E'), ((7, 5), 'E'), ((8, 5), 'E'), ((9, 5), 'E'), ((9, 5), 'E'), ((9, 6), 'S'), ((9, 7), 'S'), ((9, 8), 'S'), ((9, 9), 'S'), ((8, 9), 'W'), ((7, 9), 'W'), ((6, 9), 'W'), ((5, 9), 'W'), ((4, 9), 'W'), ((3, 9), 'W'), ((2, 9), 'W'), ((1, 9), 'W'), ((0, 9), 'W'), ((0, 8), 'N'), ((0, 7), 'N'), ((0, 6), 'N'), ((0, 5), 'N'), ((0, 4), 'N'), ((0, 3), 'N'), ((0, 2), 'N'), ((0, 1), 'N'), ((0, 0), 'N'), ((0, 0), 'N'), ((0, 0), 'N'), ((0, 0), 'N'), ((0, 1), 'S'), ((0, 2), 'S'), ((0, 3), 'S'), ((0, 4), 'S'), ((0, 5), 'S'), ((0, 6), 'S'), ((0, 7), 'S'), ((0, 8), 'S'), ((0, 9), 'S'), ((0, 9), 'S')]
120,random_walk,[((6, 5), 'E'), ((6, 6), 'S'), ((6, 5), 'N'), ((5, 5), 'W'), ((6, 5), 'E'), ((7, 5), 'E'), ((7, 6), 'S'), ((7, 7), 'S'), ((8, 7), 'E'), ((9, 7), 'E'), ((8, 7), 'W'), ((8, 8), 'S'), ((8, 9), 'S'), ((8, 9), 'S'), ((9, 9), 'E'), ((9, 8), 'N'), ((8, 8), 'W'), ((8, 9), 'S'), ((9, 9), 'E'), ((9, 8), 'N'), ((9, 8), 'E'), ((9, 7), 'N'), ((9, 7), 'E'), ((9, 7), 'E'), ((9, 6), 'N'), ((8, 6), 'W'), ((8, 5), 'N'), ((7, 5), 'W'), ((6, 5), 'W'), ((5, 5), 'W'), ((4, 5), 'W'), ((3, 5), 'W'), ((3, 4), 'N'), ((3, 3), 'N'), ((4, 3), 'E'), ((3, 3), 'W'), ((3, 4), 'S'), ((3, 3), 'N'), ((3, 4), 'S'), ((3, 3), 'N'), ((3, 4), 'S'), ((2, 4), 'W'), ((2, 5), 'S'), ((1, 5), 'W'), ((1, 6), 'S'), ((1, 7), 'S'), ((1, 8), 'S'), ((0, 8), 'W'), ((0, 9), 'S'), ((0, 9), 'S')]
120,straight_until_obstacle,[((5, 6), 'S'), ((5, 7), 'S'), ((5, 8), 'S'), ((5, 9), 'S'), ((5, 8), 'N'), ((5, 7), 'N'), ((5, 6), 'N'), ((5, 5), 'N'), ((5, 4), 'N'), ((5, 3), 'N'), ((5, 2), 'N'), ((5, 1), 'N'), ((5, 0), 'N'), ((5, 0), 'N'), ((5, 1), 'S'), ((5, 2), 'S'), ((5, 3), 'S'), ((5, 4), 'S'), ((5, 5), 'S'), ((5, 6), 'S'), ((5, 7), 'S'), ((5, 8), 'S'), ((5, 9), 'S'), ((5, 9), 'S'), ((6, 9), 'E'), ((7, 9), 'E'), ((8, 9), 'E'), ((9, 9), 'E'), ((9, 9), 'E'), ((9, 9), 'E'), ((9, 9), 'E'), ((9, 9), 'E'), ((9, 8), 'N'), ((9, 7), 'N'), ((9, 6), 'N'), ((9, 5), 'N'), ((9, 4), 'N'), ((9, 3), 'N'), ((9, 2), 'N'), ((9, 1), 'N'), ((9, 0), 'N'), ((9, 0), 'N'), ((9, 1), 'S'), ((9, 2), 'S'), ((9, 3), 'S'), ((9, 4), 'S'), ((9, 5), 'S'), ((9, 6), 'S'), ((9, 7), 'S'), ((9, 8), 'S')]
